REC_NUM,SURVYEAR,SURVMNTH,LFSSTAT,PROV,CMA,AGE_12,AGE_6,GENDER,MARSTAT,EDUC,MJH,EVERWORK,FTPTLAST,COWMAIN,IMMIG,NAICS_21,NOC_10,NOC_43,YABSENT,WKSAWAY,PAYAWAY,UHRSMAIN,AHRSMAIN,FTPTMAIN,UTOTHRS,ATOTHRS,HRSAWAY,YAWAY,PAIDOT,UNPAIDOT,XTRAHRS,WHYPT,TENURE,PREVTEN,HRLYEARN,UNION,PERMTEMP,ESTSIZE,FIRMSIZE,DURUNEMP,FLOWUNEM,UNEMFTPT,WHYLEFTO,WHYLEFTN,DURJLESS,AVAILABL,LKPUBAG,LKEMPLOY,LKRELS,LKATADS,LKANSADS,LKOTHERN,PRIORACT,YNOLOOK,TLOLOOK,SCHOOLN,EFAMTYPE,AGYOWNK,FINALWT
1,2025,09,1,46,6,09,,2,5,4,1,,,6,3,20,07,32,,,,360,360,1,360,360,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,1,15,4,200
2,2025,09,1,13,0,02,4,2,6,2,1,,,2,1,19,07,34,,,,300,200,1,300,200,0,,0,0,0,,29,,1700,3,1,1,1,,,,,,,,,,,,,,,,,1,15,,116
3,2025,09,2,46,0,04,,2,6,5,1,,,1,3,16,05,20,2,8,1,400,0,1,400,0,,,,,,,121,,4087,1,1,2,4,,,,,,,,,,,,,,,,,1,14,2,244
4,2025,09,4,24,2,11,,2,6,5,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105,,,,,,,,,,,,01,,335
5,2025,09,4,24,2,10,,1,1,5,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122,,,,,,,,,,,1,11,,411
6,2025,09,4,59,9,12,,2,3,0,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02,,309
7,2025,09,2,59,0,04,,2,1,4,1,,,2,3,20,02,06,2,47,2,320,0,1,320,0,,,,,,,77,,3125,3,1,2,2,,,,,,,,,,,,,,,,,1,03,1,101
8,2025,09,1,24,0,02,3,1,6,4,1,,,2,3,06,08,38,,,,400,400,1,400,400,0,,0,0,0,,31,,3300,1,1,1,1,,,,,,,,,,,,,,,,,1,14,,308
9,2025,09,1,35,0,06,,2,1,5,1,,,2,3,17,04,16,,,,275,275,2,275,275,0,,0,0,0,2,43,,5514,3,1,1,4,,,,,,,,,,,,,,,,,1,03,2,329
10,2025,09,4,11,0,11,,2,1,1,,1,1,2,3,10,07,31,,,,,,,,,,,,,,,,64,,,,,,,,,4,09,12,,,,,,,,,,,,11,,49
11,2025,09,2,35,4,02,4,1,6,2,1,,,2,3,20,08,35,0,1,2,400,0,1,400,0,,,,,,,21,,2400,3,1,1,2,,,,,,,,,,,,,,,,,2,18,,1073
12,2025,09,1,24,0,02,3,1,2,2,1,,,4,3,20,08,35,,,,400,400,1,400,400,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,1,03,,141
13,2025,09,1,35,0,05,,2,1,4,1,,,1,3,17,02,09,,,,375,375,1,375,375,0,,0,0,0,,170,,2860,1,1,4,4,,,,,,,,,,,,,,,,,1,03,2,251
14,2025,09,4,24,0,12,,2,2,3,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,,,,,,,,,,,,11,,87
15,2025,09,1,35,4,06,,1,1,5,1,,,2,3,17,01,02,,,,375,375,1,375,375,0,,0,0,0,,120,,4000,3,1,1,1,,,,,,,,,,,,,,,,,1,03,1,1025
16,2025,09,4,47,0,08,,1,6,1,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,18,,210
17,2025,09,1,47,0,03,6,2,6,5,1,,,2,3,10,07,33,,,,200,210,2,200,210,0,,0,0,0,7,47,,1400,3,1,2,4,,,,,,,,,,,,,,,,,1,18,,126
18,2025,09,1,24,0,03,5,1,6,4,1,,,2,2,13,02,05,,,,375,300,1,375,300,75,3,0,0,0,,24,,3452,3,1,3,4,,,,,,,,,,,,,,,,,1,01,,308
19,2025,09,1,10,0,07,,1,1,6,1,,,6,3,17,04,15,,,,500,550,1,500,550,,,,,,,212,,,,,,,,,,,,,,,,,,,,,,,1,06,1,45
20,2025,09,4,35,0,12,,1,3,0,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,262
21,2025,09,4,24,0,11,,2,1,3,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153,,,,,,,,,,,,11,,208
22,2025,09,2,24,2,04,,2,2,5,1,,,1,3,17,04,16,2,38,2,375,0,1,375,0,,,,,,,148,,4741,1,1,4,4,,,,,,,,,,,,,,,,,1,03,1,1091
23,2025,09,2,59,9,11,,1,2,1,1,,,2,3,08,08,36,1,68,2,400,0,1,400,0,,,,,,,240,,3200,1,1,3,4,,,,,,,,,,,,,,,,,,02,,434
24,2025,09,4,47,0,08,,1,1,4,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,,,,,,,,,,,1,09,2,179
25,2025,09,4,35,4,12,,2,3,2,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,01,,716
26,2025,09,4,35,0,02,3,1,6,2,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,1,,,,,,,,,,2,04,,114
27,2025,09,4,35,0,12,,2,5,2,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,18,,231
28,2025,09,1,48,7,07,,2,1,4,1,,,2,2,14,02,09,,,,200,200,2,200,200,0,,0,0,0,3,2,,2500,3,1,1,1,,,,,,,,,,,,,,,,,1,03,3,846
29,2025,09,4,24,0,01,2,1,6,2,,1,1,2,3,08,03,13,,,,,,,,,,,,,,,,3,,,,,,,,,3,05,3,,,,,,,,,,,2,15,,158
30,2025,09,1,59,0,05,,2,1,4,1,,,2,1,20,02,07,,,,400,400,1,400,400,0,,0,0,0,,101,,6346,3,1,3,3,,,,,,,,,,,,,,,,,1,03,1,188
31,2025,09,4,35,4,12,,2,3,0,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,01,,151
32,2025,09,4,13,0,09,,1,6,0,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,13,,102
33,2025,09,1,10,0,08,,2,2,5,1,,,1,3,17,02,06,,,,350,140,1,350,140,210,3,0,0,0,,220,,5300,3,1,3,4,,,,,,,,,,,,,,,,,1,04,4,101
34,2025,09,4,24,0,11,,1,2,0,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235,,,,,,,,,,,,08,,142
35,2025,09,1,48,8,04,,1,6,3,1,,,2,3,17,04,17,,,,360,400,1,360,440,0,,0,0,0,,1,,2000,3,3,2,2,,,,,,,,,,,,,,,,,3,11,,736
