REC_NUM,SURVYEAR,SURVMNTH,LFSSTAT,PROV,CMA,AGE_12,AGE_6,GENDER,MARSTAT,EDUC,MJH,EVERWORK,FTPTLAST,COWMAIN,IMMIG,NAICS_21,NOC_10,NOC_43,YABSENT,WKSAWAY,PAYAWAY,UHRSMAIN,AHRSMAIN,FTPTMAIN,UTOTHRS,ATOTHRS,HRSAWAY,YAWAY,PAIDOT,UNPAIDOT,XTRAHRS,WHYPT,TENURE,PREVTEN,HRLYEARN,UNION,PERMTEMP,ESTSIZE,FIRMSIZE,DURUNEMP,FLOWUNEM,UNEMFTPT,WHYLEFTO,WHYLEFTN,DURJLESS,AVAILABL,LKPUBAG,LKEMPLOY,LKRELS,LKATADS,LKANSADS,LKOTHERN,PRIORACT,YNOLOOK,TLOLOOK,SCHOOLN,EFAMTYPE,AGYOWNK,FINALWT
1,2025,04,4,48,8,12,,1,1,6,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179,,,,,,,,,,,,11,,411
2,2025,04,1,35,0,03,6,2,1,4,1,,,2,3,17,02,07,,,,350,255,1,350,255,95,2,0,0,0,,9,,2520,3,1,2,3,,,,,,,,,,,,,,,,,1,03,1,90
3,2025,04,4,10,0,12,,1,5,0,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,,,,,,,,,,,,01,,68
4,2025,04,1,35,0,04,,1,6,5,1,,,2,3,10,07,33,,,,160,80,2,160,80,80,3,0,0,0,6,5,,1720,3,1,2,3,,,,,,,,,,,,,,,,,1,11,,480
5,2025,04,4,35,0,11,,1,5,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,227,,,,,,,,,,,,01,,89
6,2025,04,4,24,0,12,,2,3,1,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,477
7,2025,04,4,24,0,12,,2,6,5,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,,,,,,,,,,,,01,,103
8,2025,04,1,13,0,08,,1,1,5,1,,,4,3,14,03,12,,,,20,20,2,20,20,,,,,,3,4,,,,,,,,,,,,,,,,,,,,,,,1,04,4,213
9,2025,04,4,35,0,12,,2,3,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,01,,334
10,2025,04,1,24,0,07,,2,2,4,1,,,2,3,19,01,03,,,,400,400,1,400,400,0,,0,0,0,,9,,2070,3,1,1,4,,,,,,,,,,,,,,,,,1,03,3,139
11,2025,04,4,46,6,01,2,2,6,2,,3,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,15,,152
12,2025,04,1,59,9,03,5,1,6,5,1,,,2,1,18,03,11,,,,400,320,1,400,320,80,3,0,0,0,,28,,5529,3,1,3,3,,,,,,,,,,,,,,,,,1,01,,352
13,2025,04,4,48,8,11,,1,2,4,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,08,,745
14,2025,04,1,46,0,06,,1,1,4,1,,,3,3,06,01,04,,,,500,550,1,500,550,,,,,,,143,,,,,,,,,,,,,,,,,,,,,,,1,03,1,47
15,2025,04,1,24,0,10,,1,2,4,1,,,2,3,07,08,35,,,,400,495,1,400,495,0,,95,0,95,,240,,3350,1,1,3,3,,,,,,,,,,,,,,,,,1,05,,127
16,2025,04,1,12,0,04,,1,6,3,1,,,1,3,11,08,37,,,,400,540,1,400,540,0,,130,10,140,,106,,3188,1,1,2,4,,,,,,,,,,,,,,,,,1,01,,211
17,2025,04,1,12,0,04,,2,6,4,1,,,2,3,06,08,35,,,,700,400,1,700,400,0,,0,0,0,,44,,2300,3,1,3,4,,,,,,,,,,,,,,,,,1,12,,109
18,2025,04,1,24,2,10,,2,1,5,1,,,6,3,13,07,32,,,,350,100,1,350,100,,,,,,,124,,,,,,,,,,,,,,,,,,,,,,,1,08,,691
19,2025,04,1,13,0,07,,2,2,4,1,,,1,3,17,02,08,,,,400,400,1,400,400,0,,0,0,0,,225,,2510,1,1,3,3,,,,,,,,,,,,,,,,,1,11,,105
20,2025,04,3,59,9,10,,2,1,5,,1,1,2,2,06,02,09,,,,,,,,,,,,,,,,12,,,,,,16,2,2,4,12,4,2,1,,1,1,1,1,1,,,1,07,4,934
21,2025,04,2,24,2,08,,2,3,5,1,,,3,3,10,01,03,2,1,2,600,0,1,600,0,,,,,,,189,,,,,,,,,,,,,,,,,,,,,,,1,15,4,767
22,2025,04,1,59,9,01,2,1,6,3,1,,,2,3,19,07,32,,,,100,120,2,100,120,0,,0,0,0,6,18,,1650,3,1,1,3,,,,,,,,,,,,,,,,,2,18,,293
23,2025,04,4,59,9,04,,1,6,1,,1,1,2,2,11,08,38,,,,,,,,,,,,,,,,131,,,,,,,,,0,00,12,,,,,,,,,,,1,18,,878
24,2025,04,1,11,0,06,,1,1,4,1,,,2,3,14,03,13,,,,400,400,1,400,400,0,,0,0,0,,31,,1625,3,4,2,3,,,,,,,,,,,,,,,,,1,03,3,33
25,2025,04,4,24,0,08,,1,2,0,,1,1,2,3,15,09,40,,,,,,,,,,,,,,,,18,,,,,,,,,4,09,1,,,,,,,,,,,1,08,,83
26,2025,04,4,24,2,12,,2,2,1,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,11,,268
27,2025,04,4,35,4,12,,2,3,2,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,13,,1110
28,2025,04,4,59,9,11,,2,3,4,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,01,,186
29,2025,04,4,35,0,12,,1,1,6,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235,,,,,,,,,,,,11,,368
30,2025,04,1,35,4,06,,2,1,4,1,,,2,1,17,05,24,,,,400,320,1,400,320,80,1,0,0,0,,16,,1733,3,1,1,1,,,,,,,,,,,,,,,,,3,03,3,1033
31,2025,04,1,24,0,11,,1,1,4,1,,,2,3,07,02,09,,,,240,270,2,240,270,0,,0,0,0,5,114,,2500,3,1,3,3,,,,,,,,,,,,,,,,,,02,,142
32,2025,04,1,24,2,04,,1,1,6,1,,,2,3,14,03,11,,,,400,320,1,400,320,80,3,0,0,0,,1,,4231,3,1,2,2,,,,,,,,,,,,,,,,,1,02,,450
33,2025,04,1,35,4,10,,1,1,4,2,,,2,2,11,07,33,,,,200,200,2,500,400,0,,0,0,0,7,112,,1720,1,1,4,4,,,,,,,,,,,,,,,,,1,04,4,1284
34,2025,04,1,35,0,11,,1,1,4,1,,,6,3,15,08,36,,,,260,240,2,260,240,,,,,,5,94,,,,,,,,,,,,,,,,,,,,,,,,02,,123
35,2025,04,1,35,0,05,,1,6,6,1,,,1,2,17,04,16,,,,400,400,1,400,400,0,,0,0,0,,84,,4997,1,1,3,4,,,,,,,,,,,,,,,,,1,01,,83
36,2025,04,4,24,2,11,,2,6,0,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,18,,254
37,2025,04,1,46,6,06,,1,1,2,1,,,2,3,09,01,03,,,,400,320,1,400,320,80,3,0,0,0,,20,,4447,3,1,1,1,,,,,,,,,,,,,,,,,1,02,,113
38,2025,04,4,35,4,12,,2,3,0,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,04,,912
39,2025,04,1,24,2,07,,2,2,6,1,,,2,3,06,01,02,,,,400,350,1,400,350,80,3,0,0,0,,42,,9030,3,1,2,2,,,,,,,,,,,,,,,,,1,14,3,206
40,2025,04,1,59,0,04,,1,2,5,1,,,2,1,06,03,13,,,,400,240,1,400,240,160,3,0,0,0,,9,,3606,3,1,2,2,,,,,,,,,,,,,,,,,1,02,,183
41,2025,04,4,35,4,12,,1,1,1,,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08,,182
42,2025,04,1,48,0,07,,2,1,4,1,,,1,3,17,04,18,,,,775,372,1,775,372,0,,0,40,40,,33,,2325,1,1,3,4,,,,,,,,,,,,,,,,,1,02,,368
43,2025,04,1,35,0,12,,1,1,5,1,,,6,2,14,02,05,,,,600,600,1,600,600,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,,05,,252
44,2025,04,4,24,2,12,,2,1,0,,2,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212,,,,,,,,,,,,11,,342
45,2025,04,3,48,8,02,4,1,6,2,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,52,7,1,,,17,2,,,,1,1,,0,,,1,01,,369
46,2025,04,1,59,0,03,5,1,6,4,1,,,2,3,06,08,38,,,,400,520,1,400,520,0,,120,0,120,,4,,3900,1,1,1,1,,,,,,,,,,,,,,,,,1,01,,285
